id_dat,value,crep_id,create_date
1,195,1,2023-07-05 13:49:50.118158
2,403,1,2023-07-05 13:49:50.118158
3,506,1,2023-07-05 13:49:50.118158
4,132,1,2023-07-05 13:49:50.118158
5,59,1,2023-07-05 13:49:50.118158
6,9,1,2023-07-05 13:49:50.118158
7,581,1,2023-07-05 13:49:50.118158
8,432,1,2023-07-05 13:49:50.118158
9,297,1,2023-07-05 13:49:50.118158
10,527,1,2023-07-05 13:49:50.118158
11,522,1,2023-07-05 13:49:50.118158
12,36,1,2023-07-05 13:49:50.118158
13,501,1,2023-07-05 13:49:50.118158
14,407,1,2023-07-05 13:49:50.118158
15,382,1,2023-07-05 13:49:50.118158
1,173,2,2023-07-05 13:49:50.119158
2,88,2,2023-07-05 13:49:50.119158
3,328,2,2023-07-05 13:49:50.119158
4,505,2,2023-07-05 13:49:50.119158
5,193,2,2023-07-05 13:49:50.119158
6,504,2,2023-07-05 13:49:50.119158
7,276,2,2023-07-05 13:49:50.119158
8,570,2,2023-07-05 13:49:50.119158
9,139,2,2023-07-05 13:49:50.119158
10,361,2,2023-07-05 13:49:50.119158
11,20,2,2023-07-05 13:49:50.119158
12,35,2,2023-07-05 13:49:50.119158
13,98,2,2023-07-05 13:49:50.119158
14,484,2,2023-07-05 13:49:50.119158
15,443,2,2023-07-05 13:49:50.119158
1,21,3,2023-07-05 13:49:50.123158
2,129,3,2023-07-05 13:49:50.123158
3,341,3,2023-07-05 13:49:50.123158
4,271,3,2023-07-05 13:49:50.123158
5,301,3,2023-07-05 13:49:50.123158
6,44,3,2023-07-05 13:49:50.123158
7,71,3,2023-07-05 13:49:50.123158
8,92,3,2023-07-05 13:49:50.123158
9,424,3,2023-07-05 13:49:50.123158
10,343,3,2023-07-05 13:49:50.123158
11,137,3,2023-07-05 13:49:50.123158
12,176,3,2023-07-05 13:49:50.123158
13,104,3,2023-07-05 13:49:50.123158
14,462,3,2023-07-05 13:49:50.123158
15,46,3,2023-07-05 13:49:50.123158
1,495,4,2023-07-05 13:49:50.125158
2,500,4,2023-07-05 13:49:50.125158
3,341,4,2023-07-05 13:49:50.125158
4,388,4,2023-07-05 13:49:50.125158
5,202,4,2023-07-05 13:49:50.125158
6,502,4,2023-07-05 13:49:50.125158
7,497,4,2023-07-05 13:49:50.125158
8,362,4,2023-07-05 13:49:50.125158
9,233,4,2023-07-05 13:49:50.125158
10,22,4,2023-07-05 13:49:50.125158
11,504,4,2023-07-05 13:49:50.125158
12,335,4,2023-07-05 13:49:50.125158
13,166,4,2023-07-05 13:49:50.125158
14,299,4,2023-07-05 13:49:50.125158
15,375,4,2023-07-05 13:49:50.125158
1,72,5,2023-07-05 13:49:50.126158
2,186,5,2023-07-05 13:49:50.126158
3,84,5,2023-07-05 13:49:50.126158
4,246,5,2023-07-05 13:49:50.126158
5,166,5,2023-07-05 13:49:50.126158
6,136,5,2023-07-05 13:49:50.126158
7,197,5,2023-07-05 13:49:50.126158
8,344,5,2023-07-05 13:49:50.126158
9,122,5,2023-07-05 13:49:50.126158
10,249,5,2023-07-05 13:49:50.126158
11,387,5,2023-07-05 13:49:50.126158
12,572,5,2023-07-05 13:49:50.126158
13,9,5,2023-07-05 13:49:50.126158
14,364,5,2023-07-05 13:49:50.126158
15,154,5,2023-07-05 13:49:50.126158
1,206,6,2023-07-05 13:49:50.126158
